"Date","Price","Open","High","Low","Vol.","Change %"
"21-04-2026","93.197","93.110","93.354","92.947","","0.08%"
"20-04-2026","93.120","92.710","93.243","92.631","","0.56%"
"17-04-2026","92.603","93.140","93.140","92.444","","-0.48%"
"16-04-2026","93.053","93.260","93.407","92.926","","-0.36%"
"15-04-2026","93.385","93.106","93.503","93.074","","0.24%"
"14-04-2026","93.165","93.156","93.407","93.016","","-0.07%"
"13-04-2026","93.233","93.318","93.431","93.120","","0.15%"
"10-04-2026","93.090","92.683","93.092","92.409","","0.67%"
"09-04-2026","92.470","92.570","92.915","92.313","","-0.12%"
"08-04-2026","92.585","92.860","92.860","92.333","","-0.30%"
"07-04-2026","92.867","93.008","93.075","92.818","","-0.21%"
"06-04-2026","93.065","92.838","93.204","92.716","","0.38%"
"03-04-2026","92.710","92.952","92.803","92.614","","-0.29%"
"02-04-2026","92.978","93.279","93.691","92.797","","-0.27%"
"01-04-2026","93.226","93.627","93.890","93.022","","-0.28%"
"31-03-2026","93.485","94.373","94.380","93.432","","-0.95%"
"30-03-2026","94.379","93.048","95.220","93.032","","-0.43%"
"27-03-2026","94.782","94.298","94.988","94.116","","0.52%"
"26-03-2026","94.288","93.800","94.301","93.800","","0.41%"
"25-03-2026","93.906","93.990","94.214","93.763","","-0.15%"
"24-03-2026","94.043","93.505","94.141","93.505","","0.89%"
"23-03-2026","93.212","93.743","94.137","92.911","","-0.51%"
"20-03-2026","93.692","92.924","93.826","92.834","","0.84%"
"19-03-2026","92.911","93.027","93.384","92.859","","-0.23%"
"18-03-2026","93.129","92.407","93.129","92.340","","0.79%"
"17-03-2026","92.395","92.240","92.491","92.240","","0.14%"
"16-03-2026","92.264","92.449","92.483","92.147","","-0.30%"
"13-03-2026","92.540","92.366","92.572","92.240","","0.16%"
"12-03-2026","92.388","92.243","92.506","92.055","","0.17%"
"11-03-2026","92.229","91.899","92.258","91.837","","0.28%"
"10-03-2026","91.974","91.851","92.204","91.674","","-0.20%"
"09-03-2026","92.155","92.330","92.386","92.113","","0.24%"
"06-03-2026","91.933","91.662","92.012","91.570","","0.16%"
"05-03-2026","91.787","92.132","92.165","91.335","","-0.36%"
"04-03-2026","92.123","92.012","92.311","91.880","","0.08%"
"03-03-2026","92.050","91.560","92.239","91.560","","0.51%"
"02-03-2026","91.585","91.234","91.774","91.167","","0.56%"
"27-02-2026","91.076","91.022","91.142","90.915","","0.09%"
"26-02-2026","90.993","90.941","91.078","90.806","","0.11%"
"25-02-2026","90.894","90.913","90.970","90.863","","-0.03%"
"24-02-2026","90.918","91.026","91.032","90.855","","-0.11%"
"23-02-2026","91.016","90.765","91.034","90.680","","0.32%"
"20-02-2026","90.730","91.042","91.088","90.721","","-0.34%"
"19-02-2026","91.038","90.793","91.211","90.700","","0.26%"
"18-02-2026","90.804","90.627","90.809","90.575","","0.19%"
"17-02-2026","90.632","90.784","90.804","90.607","","-0.16%"
"16-02-2026","90.779","90.596","90.832","90.536","","0.25%"
"13-02-2026","90.555","90.613","90.762","90.516","","-0.01%"
"12-02-2026","90.564","90.672","90.732","90.390","","-0.19%"
"11-02-2026","90.736","90.587","90.846","90.465","","0.16%"
"10-02-2026","90.588","90.793","90.798","90.470","","-0.19%"
"09-02-2026","90.756","90.518","90.811","90.373","","0.18%"
"06-02-2026","90.596","90.315","90.845","90.173","","0.31%"
"05-02-2026","90.319","90.362","90.521","90.063","","-0.08%"
"04-02-2026","90.391","90.377","90.535","90.233","","-0.04%"
"03-02-2026","90.423","90.328","90.520","90.022","","-0.94%"
"02-02-2026","91.285","91.778","92.023","91.280","","-0.45%"
"30-01-2026","91.694","91.870","92.027","91.667","","-0.10%"
"29-01-2026","91.782","92.031","92.129","91.779","","-0.28%"
"28-01-2026","92.043","91.540","92.220","91.418","","0.62%"
"27-01-2026","91.474","91.775","91.896","91.472","","-0.26%"
"26-01-2026","91.713","91.531","91.790","91.500","","0.04%"
"23-01-2026","91.675","91.559","91.988","91.415","","0.11%"
"22-01-2026","91.570","91.537","91.681","91.279","","0.03%"
"21-01-2026","91.546","91.055","91.753","90.998","","0.47%"
"20-01-2026","91.119","90.905","91.119","90.871","","0.24%"
"19-01-2026","90.902","90.717","91.015","90.610","","0.21%"
"16-01-2026","90.709","90.318","90.891","90.318","","0.38%"
"15-01-2026","90.362","90.190","90.439","90.181","","0.13%"
"14-01-2026","90.248","90.265","90.391","89.983","","-0.04%"
"13-01-2026","90.282","90.233","90.351","90.165","","0.17%"
"12-01-2026","90.132","90.257","90.272","90.117","","-0.12%"
"09-01-2026","90.244","89.883","90.318","89.855","","0.38%"
"08-01-2026","89.905","89.852","90.132","89.730","","0.05%"
"07-01-2026","89.864","90.166","90.232","89.807","","-0.27%"
"06-01-2026","90.108","90.231","90.264","90.050","","-0.14%"
"05-01-2026","90.233","90.131","90.311","90.095","","0.24%"
"02-01-2026","90.014","89.942","90.255","89.864","","0.05%"
"01-01-2026","89.968","89.955","89.993","89.865","","0.11%"
"31-12-2025","89.871","89.780","90.001","89.727","","0.11%"
"30-12-2025","89.770","89.974","90.020","89.687","","-0.14%"
"29-12-2025","89.900","89.837","89.993","89.830","","0.12%"
"26-12-2025","89.796","89.753","89.962","89.697","","0.07%"
"25-12-2025","89.736","89.735","89.736","89.735","","-0.09%"
"24-12-2025","89.814","89.534","89.860","89.419","","0.42%"
"23-12-2025","89.436","89.563","89.851","89.411","","-0.19%"
"22-12-2025","89.604","89.542","89.768","89.446","","0.03%"
"19-12-2025","89.577","90.238","90.302","89.255","","-0.76%"
