DMD-DateTime,DMD-Date,DMD-Day,DMD-Month,DMD-Year,DMH-Time,DMH-Hours-24,DMH-Minutes,DMT-Month_Name,DMT-Day_Name,DMT-QTR,DMT-FY,Silver_USD_t.oz,Gold_USD_t.oz,USD_INR,Silver_INR_g,Silver_INR_kg,Gold_INR_g,Gold_INR_kg,Eq-NSE,Eq-BSE
21-05-2026 10:04:08,21-05-2026,21,05,2026,10:04:08,10,04,May,Thu,Q1,FY 2026-27,75.970001,4536.600098,96.135002,234.808823,234808.823111,14021.767971,14021767.970788,23779.800781,75610.507812
21-05-2026 10:09:09,21-05-2026,21,05,2026,10:09:09,10,09,May,Thu,Q1,FY 2026-27,76.029999,4540.799805,96.199997,235.153139,235153.138732,14044.237059,14044237.058643,23758.099609,75697.632812
21-05-2026 10:14:10,21-05-2026,21,05,2026,10:14:10,10,14,May,Thu,Q1,FY 2026-27,75.919998,4537.899902,96.192497,234.794612,234794.612032,14034.173771,14034173.771199,23765.949219,75606.148438
21-05-2026 10:19:11,21-05-2026,21,05,2026,10:19:11,10,19,May,Thu,Q1,FY 2026-27,75.900002,4537.200195,96.139999,234.604662,234604.661867,14024.351729,14024351.729164,23776.650391,75617.000000
